Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_m,dy_male,var_m,se_m,cv_m,se2_m,moe_m,sample_f,dy_female,var_f,se_f,cv_f,se2_f,moe_f,S_male,S_female,MOE_Smale,MOE_Sfemale
44700,"Stockton-Lodi, CA",20-24, 176 ,7036.27272,450796.02137,671.41345,0.09542,450796.02137,1104.47513,80.00000,3243.00962,193229.06295,439.57828,0.13555,193229.06295,723.10627,96.00000,3793.26310,189806.08123,435.66740,0.11485,189806.08123,716.67287,0.46090,0.53910,0.07299,0.05669
45060,"Syracuse, NY",16-19, 46 ,1210.84885,64354.70457,253.68229,0.20951,64354.70457,417.30737,21.00000,468.87438,9821.35612,99.10276,0.21136,9821.35612,163.02403,25.00000,741.97448,44585.95509,211.15387,0.28458,44585.95509,347.34811,0.38723,0.61277,0.01780,0.19414
45060,"Syracuse, NY",20-24, 137 ,4573.81795,215815.04427,464.55898,0.10157,215815.04427,764.19952,63.00000,2049.55850,98809.27809,314.33943,0.15337,98809.27809,517.08836,74.00000,2524.25945,128681.52041,358.72207,0.14211,128681.52041,590.09780,0.44811,0.55189,0.08471,0.09024
45300,"Tampa-St. Petersburg-Clearwater, FL",16-19, 207 ,8390.55686,459634.22376,677.96329,0.08080,459634.22376,1115.24961,107.00000,4677.40159,268600.31581,518.26665,0.11080,268600.31581,852.54863,100.00000,3713.15527,212915.48974,461.42766,0.12427,212915.48974,759.04851,0.55746,0.44254,0.06953,0.06873
45300,"Tampa-St. Petersburg-Clearwater, FL",20-24, 498 ,20019.38766,1506934.47010,1227.57259,0.06132,1506934.47010,2019.35691,242.00000,9707.57644,653276.76599,808.25538,0.08326,653276.76599,1329.58011,256.00000,10311.81121,620227.51088,787.54524,0.07637,620227.51088,1295.51193,0.48491,0.51509,0.04493,0.03858
45780,"Toledo, OH",16-19, 32 ,1205.60318,77372.24302,278.15867,0.23072,77372.24302,457.57100,16.00000,598.98186,40053.04486,200.13257,0.33412,40053.04486,329.21807,16.00000,606.62133,28201.51328,167.93306,0.27683,28201.51328,276.24989,0.49683,0.50317,0.19751,0.12663
45780,"Toledo, OH",20-24, 135 ,6381.47543,393386.60064,627.20539,0.09829,393386.60064,1031.75287,54.00000,2619.31147,144237.27563,379.78583,0.14499,144237.27563,624.74769,81.00000,3762.16395,266309.56356,516.05190,0.13717,266309.56356,848.90538,0.41046,0.58954,0.07198,0.09279
46060,"Tucson, AZ",16-19, 78 ,3397.77229,216707.06984,465.51807,0.13701,216707.06984,765.77722,39.00000,1635.53473,97470.27365,312.20230,0.19089,97470.27365,513.57278,39.00000,1762.23756,87422.06277,295.67222,0.16778,87422.06277,486.38080,0.48136,0.51864,0.10525,0.08263
46060,"Tucson, AZ",20-24, 203 ,9874.62577,702947.06864,838.41939,0.08491,702947.06864,1379.19989,89.00000,3972.42694,341102.62683,584.03992,0.14702,341102.62683,960.74567,114.00000,5902.19883,345675.87193,587.94207,0.09961,345675.87193,967.16470,0.40229,0.59771,0.07943,0.05122
46140,"Tulsa, OK",16-19, 72 ,2235.54833,101153.36190,318.04616,0.14227,101153.36190,523.18594,37.00000,1129.57817,44581.44999,211.14320,0.18692,44581.44999,347.33056,35.00000,1105.97015,48732.08581,220.75345,0.19960,48732.08581,363.13943,0.50528,0.49472,0.10078,0.11394
