Assigned_CBSA,Assigned_CBSATitle,age_recode,sex,sex_label, sample_n ,DY,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ShareDY,MOE_ShareDY
27140,"Jackson, MS",20-24,1,Male, 57 ,2398.74187,117441.03530,342.69671,0.14287,117441.03530,563.73609,546.00000,21833.73980,378925.37355,615.56915,0.02819,378925.37355,1012.61125,0.10986,0.02531
27140,"Jackson, MS",20-24,2,Female, 69 ,2600.85511,149230.09757,386.30312,0.14853,149230.09757,635.46863,561.00000,23011.47032,544389.85964,737.82780,0.03206,544389.85964,1213.72673,0.11302,0.02696
27260,"Jacksonville, FL",16-19,1,Male, 38 ,1415.98051,90410.55724,300.68348,0.21235,90410.55724,494.62433,915.00000,36144.76197,1110888.44570,1053.98693,0.02916,1110888.44570,1733.80850,0.03918,0.01355
27260,"Jacksonville, FL",16-19,2,Female, 51 ,2396.29696,184217.16223,429.20527,0.17911,184217.16223,706.04267,839.00000,34499.28564,770987.84173,878.05913,0.02545,770987.84173,1444.40727,0.06946,0.02026
27260,"Jacksonville, FL",20-24,1,Male, 106 ,4414.70529,253342.51915,503.33142,0.11401,253342.51915,827.98019,1074.00000,46660.59195,658178.18959,811.28182,0.01739,658178.18959,1334.55859,0.09461,0.01754
27260,"Jacksonville, FL",20-24,2,Female, 141 ,7264.01382,462783.76842,680.28212,0.09365,462783.76842,1119.06409,1064.00000,46645.74894,733257.83273,856.30475,0.01836,733257.83273,1408.62132,0.15573,0.02353
28140,"Kansas City, MO-KS",16-19,1,Male, 56 ,2300.01494,116307.47121,341.03881,0.14828,116307.47121,561.00885,1457.00000,53653.88437,1485514.26630,1218.81675,0.02272,1485514.26630,2004.95355,0.04287,0.01033
28140,"Kansas City, MO-KS",16-19,2,Female, 54 ,2181.80226,110716.33570,332.74064,0.15251,110716.33570,547.35836,1464.00000,51695.39051,1058432.18500,1028.80133,0.01990,1058432.18500,1692.37819,0.04220,0.01050
28140,"Kansas City, MO-KS",20-24,1,Male, 99 ,4761.26371,295199.53138,543.32268,0.11411,295199.53138,893.76580,1482.00000,66998.89809,928760.08345,963.72199,0.01438,928760.08345,1585.32268,0.07106,0.01323
28140,"Kansas City, MO-KS",20-24,2,Female, 147 ,6983.62372,252273.55305,502.26841,0.07192,252273.55305,826.23153,1580.00000,66837.48620,1178638.27710,1085.65108,0.01624,1178638.27710,1785.89603,0.10449,0.01204
28940,"Knoxville, TN",16-19,1,Male, 34 ,1736.59760,135470.98008,368.06383,0.21195,135470.98008,605.46499,722.00000,24428.17145,510518.70409,714.50592,0.02925,510518.70409,1175.36223,0.07109,0.02455
28940,"Knoxville, TN",16-19,2,Female, 39 ,1775.78569,91774.02063,302.94227,0.17060,91774.02063,498.34004,699.00000,24019.09361,423282.51379,650.60166,0.02709,423282.51379,1070.23972,0.07393,0.02048
28940,"Knoxville, TN",20-24,1,Male, 74 ,3365.88130,216126.14767,464.89370,0.13812,216126.14767,764.75013,821.00000,34526.64018,407942.27018,638.70359,0.01850,407942.27018,1050.66740,0.09749,0.02195
28940,"Knoxville, TN",20-24,2,Female, 119 ,6205.73863,294679.48560,542.84389,0.08747,294679.48560,892.97819,828.00000,34587.08147,436400.61101,660.60625,0.01910,436400.61101,1086.69727,0.17942,0.02520
29460,"Lakeland-Winter Haven, FL",16-19,1,Male, 29 ,922.09983,51870.74181,227.75149,0.24699,51870.74181,374.65120,510.00000,15856.65738,275844.24974,525.20877,0.03312,275844.24974,863.96842,0.05815,0.02341
29460,"Lakeland-Winter Haven, FL",16-19,2,Female, 29 ,1037.23388,43551.34936,208.68960,0.20120,43551.34936,343.29439,519.00000,16252.98146,255319.10790,505.29111,0.03109,255319.10790,831.20388,0.06382,0.02087
29460,"Lakeland-Winter Haven, FL",20-24,1,Male, 74 ,2916.18079,117981.91221,343.48495,0.11779,117981.91221,565.03275,573.00000,20376.44551,149522.07036,386.68084,0.01898,149522.07036,636.08998,0.14312,0.02737
29460,"Lakeland-Winter Haven, FL",20-24,2,Female, 70 ,3289.99207,175125.28335,418.47973,0.12720,175125.28335,688.39915,482.00000,19238.77295,137894.78488,371.34187,0.01930,137894.78488,610.85738,0.17101,0.03537
29820,"Las Vegas-Henderson-Paradise, NV",16-19,1,Male, 97 ,3661.74577,146327.44986,382.52771,0.10447,146327.44986,629.25808,1460.00000,53948.90239,941949.50775,970.54083,0.01799,941949.50775,1596.53967,0.06787,0.01149
29820,"Las Vegas-Henderson-Paradise, NV",16-19,2,Female, 74 ,2814.02466,137029.48425,370.17494,0.13155,137029.48425,608.93777,1331.00000,47680.69285,926847.76093,962.72933,0.02019,926847.76093,1583.68975,0.05902,0.01262
29820,"Las Vegas-Henderson-Paradise, NV",20-24,1,Male, 172 ,7676.97849,338607.97964,581.90032,0.07580,338607.97964,957.22602,1614.00000,71097.75190,605586.90318,778.19464,0.01095,605586.90318,1280.13019,0.10798,0.01332
29820,"Las Vegas-Henderson-Paradise, NV",20-24,2,Female, 213 ,9367.55595,614424.27444,783.85220,0.08368,614424.27444,1289.43687,1650.00000,68184.66383,534245.57167,730.92104,0.01072,534245.57167,1202.36512,0.13739,0.01876
30780,"Little Rock-North Little Rock-Conway, AR",16-19,1,Male, 24 ,1120.86409,59886.31720,244.71681,0.21833,59886.31720,402.55915,445.00000,18389.89953,517653.41589,719.48135,0.03912,517653.41589,1183.54682,0.06095,0.02154
30780,"Little Rock-North Little Rock-Conway, AR",16-19,2,Female, 16 ,1086.39199,91851.74743,303.07053,0.27897,91851.74743,498.55103,439.00000,17469.48245,403271.87420,635.03691,0.03635,403271.87420,1044.63571,0.06219,0.02830
30780,"Little Rock-North Little Rock-Conway, AR",20-24,1,Male, 31 ,1590.11108,123189.95882,350.98427,0.22073,123189.95882,577.36913,561.00000,25783.56551,326414.40481,571.32688,0.02216,326414.40481,939.83272,0.06167,0.02228
30780,"Little Rock-North Little Rock-Conway, AR",20-24,2,Female, 68 ,4037.24451,289009.69346,537.59622,0.13316,289009.69346,884.34578,501.00000,25610.64075,238221.87569,488.07978,0.01906,238221.87569,802.89124,0.15764,0.03417
31080,"Los Angeles-Long Beach-Anaheim, CA",16-19,1,Male, 491 ,17654.95445,850372.81867,922.15661,0.05223,850372.81867,1516.94763,11995.00000,375629.01668,6003472.29740,2450.19842,0.00652,6003472.29740,4030.57640,0.04700,0.00401
31080,"Los Angeles-Long Beach-Anaheim, CA",16-19,2,Female, 503 ,17891.31614,574534.22641,757.98036,0.04237,574534.22641,1246.87769,11467.00000,361098.21609,5958901.65360,2441.08616,0.00676,5958901.65360,4015.58674,0.04955,0.00341
31080,"Los Angeles-Long Beach-Anaheim, CA",20-24,1,Male," 1,056 ",41244.18501,1852401.35850,1361.02952,0.03300,1852401.35850,2238.89356,14331.00000,516384.95186,2411008.14330,1552.74214,0.00301,2411008.14330,2554.26082,0.07987,0.00432
31080,"Los Angeles-Long Beach-Anaheim, CA",20-24,2,Female," 1,249 ",48384.68461,2131983.19730,1460.13123,0.03018,2131983.19730,2401.91587,13862.00000,496227.93599,3040013.81860,1743.56354,0.00351,3040013.81860,2868.16202,0.09750,0.00481
31140,"Louisville/Jefferson County, KY-IN",16-19,1,Male, 32 ,1200.83904,71687.92606,267.74601,0.22297,71687.92606,440.44219,1003.00000,30307.23076,565621.75093,752.07829,0.02482,565621.75093,1237.16878,0.03962,0.01444
31140,"Louisville/Jefferson County, KY-IN",16-19,2,Female, 32 ,1135.11062,44839.21459,211.75272,0.18655,44839.21459,348.33323,975.00000,30372.93460,727611.22635,853.00131,0.02808,727611.22635,1403.18715,0.03737,0.01134
31140,"Louisville/Jefferson County, KY-IN",20-24,1,Male, 80 ,3803.59650,291013.02430,539.45623,0.14183,291013.02430,887.40550,1048.00000,41585.57788,643674.41624,802.29322,0.01929,643674.41624,1319.77235,0.09146,0.02114
31140,"Louisville/Jefferson County, KY-IN",20-24,2,Female, 94 ,4408.11597,319760.26989,565.47349,0.12828,319760.26989,930.20389,995.00000,38710.74917,463530.77894,680.83095,0.01759,463530.77894,1119.96691,0.11387,0.02380
31540,"Madison, WI",16-19,1,Male,,,,,,,,331.00000,12929.70492,547695.74027,740.06469,0.05724,547695.74027,1217.40641,,
31540,"Madison, WI",16-19,2,Female,,,,,,,,371.00000,14464.75821,525002.37134,724.57047,0.05009,525002.37134,1191.91843,,
31540,"Madison, WI",20-24,1,Male, 8 ,764.41517,101685.83622,318.88217,0.41716,101685.83622,524.56116,367.00000,26395.15380,646357.33126,803.96351,0.03046,646357.33126,1322.51998,0.02896,0.01982
31540,"Madison, WI",20-24,2,Female, 7 ,501.75676,45224.80382,212.66124,0.42383,45224.80382,349.82774,398.00000,25473.92744,513683.60230,716.71724,0.02814,513683.60230,1178.99986,0.01970,0.01370
32580,"McAllen-Edinburg-Mission, TX",16-19,1,Male, 44 ,2175.47997,123982.49786,352.11148,0.16185,123982.49786,579.22339,602.00000,28130.52433,442476.02367,665.18871,0.02365,442476.02367,1094.23543,0.07734,0.02037
32580,"McAllen-Edinburg-Mission, TX",16-19,2,Female, 50 ,2615.30200,177276.04776,421.04162,0.16099,177276.04776,692.61347,557.00000,26818.06615,382560.47587,618.51473,0.02306,382560.47587,1017.45674,0.09752,0.02556
32580,"McAllen-Edinburg-Mission, TX",20-24,1,Male, 79 ,4503.28880,252440.77751,502.43485,0.11157,252440.77751,826.50533,620.00000,32224.96185,195578.66047,442.24276,0.01372,195578.66047,727.48934,0.13975,0.02545
32580,"McAllen-Edinburg-Mission, TX",20-24,2,Female, 113 ,7264.56456,555894.37747,745.58325,0.10263,555894.37747,1226.48444,570.00000,31820.13243,158678.67433,398.34492,0.01252,158678.67433,655.27739,0.22830,0.03826
32820,"Memphis, TN-MS-AR",16-19,1,Male, 65 ,2862.26455,182596.86409,427.31354,0.14929,182596.86409,702.93078,893.00000,35910.44577,928568.21114,963.62244,0.02683,928568.21114,1585.15892,0.07971,0.01926
32820,"Memphis, TN-MS-AR",16-19,2,Female, 57 ,2504.73325,163084.66873,403.83743,0.16123,163084.66873,664.31257,908.00000,33723.15998,672972.68709,820.34913,0.02433,672972.68709,1349.47431,0.07427,0.01947
32820,"Memphis, TN-MS-AR",20-24,1,Male, 125 ,6465.13104,380658.50959,616.97529,0.09543,380658.50959,1014.92435,1033.00000,44787.41527,610991.77621,781.65963,0.01745,610991.77621,1285.83009,0.14435,0.02228
32820,"Memphis, TN-MS-AR",20-24,2,Female, 146 ,7169.98586,413905.93536,643.35522,0.08973,413905.93536,1058.31933,994.00000,44844.15593,575800.59417,758.81526,0.01692,575800.59417,1248.25110,0.15989,0.02318
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",16-19,1,Male, 157 ,6613.88045,354855.30092,595.69732,0.09007,354855.30092,979.92210,3948.00000,140983.48423,2277495.21150,1509.13724,0.01070,2277495.21150,2482.53076,0.04691,0.00690
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",16-19,2,Female, 140 ,6270.74350,380474.36673,616.82604,0.09837,380474.36673,1014.67884,3823.00000,137947.56107,1703926.20580,1305.34524,0.00946,1703926.20580,2147.29293,0.04546,0.00732
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",20-24,1,Male, 408 ,20013.94664,1884543.63540,1372.78681,0.06859,1884543.63540,2258.23431,4484.00000,193314.93506,1345918.57940,1160.13731,0.00600,1345918.57940,1908.42588,0.10353,0.01164
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",20-24,2,Female, 413 ,18576.77854,1066034.84580,1032.48963,0.05558,1066034.84580,1698.44545,4507.00000,186675.06133,1151982.15390,1073.30432,0.00575,1151982.15390,1765.58560,0.09951,0.00905
33340,"Milwaukee-Waukesha-West Allis, WI",16-19,1,Male, 25 ,1387.05815,98827.55841,314.36851,0.22664,98827.55841,517.13619,899.00000,43461.92334,1447715.68700,1203.21057,0.02768,1447715.68700,1979.28140,0.03191,0.01181
33340,"Milwaukee-Waukesha-West Allis, WI",16-19,2,Female, 25 ,1484.94069,117236.74243,342.39851,0.23058,117236.74243,563.24556,900.00000,41619.26646,1502975.59060,1225.95905,0.02946,1502975.59060,2016.70264,0.03568,0.01342
33340,"Milwaukee-Waukesha-West Allis, WI",20-24,1,Male, 67 ,4422.63228,313686.93843,560.07762,0.12664,313686.93843,921.32768,1033.00000,53650.85040,1524986.81310,1234.90356,0.02302,1524986.81310,2031.41636,0.08243,0.01689
33340,"Milwaukee-Waukesha-West Allis, WI",20-24,2,Female, 80 ,5685.29963,433042.51189,658.05966,0.11575,433042.51189,1082.50814,955.00000,52593.68759,887405.52778,942.02204,0.01791,887405.52778,1549.62626,0.10810,0.02033
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",16-19,1,Male, 37 ,2317.12010,149784.24942,387.01970,0.16703,149784.24942,636.64741,2110.00000,95101.25065,4621708.32780,2149.81588,0.02261,4621708.32780,3536.44713,0.02436,0.00663
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",16-19,2,Female, 23 ,1218.60550,96628.54237,310.85132,0.25509,96628.54237,511.35042,1833.00000,84687.27074,3818754.31140,1954.16333,0.02308,3818754.31140,3214.59867,0.01439,0.00601
