YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",25-54,244,5249,,,,,,6690,135379,,,,,,0.0387726309,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,439,9452,,,,,,2908,63911,,,,,,0.1478931639,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,282,6507,,,,,,4806,111402,,,,,,0.0584100824,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,1166,26109,,,,,,39164,893399,,,,,,0.0292243443,
2000,19780,"Des Moines-West Des Moines, IA",16-19,64,1766,,,,,,444,13712,,,,,,0.1287922987,
2000,19780,"Des Moines-West Des Moines, IA",20-24,72,1925,,,,,,679,22522,,,,,,0.085471983,
2000,19780,"Des Moines-West Des Moines, IA",25-54,176,4945,,,,,,4682,149071,,,,,,0.0331721126,
2000,19820,"Detroit-Warren-Dearborn, MI",16-19,837,21247,,,,,,4914,124868,,,,,,0.1701556844,
2000,19820,"Detroit-Warren-Dearborn, MI",20-24,766,19977,,,,,,7289,195681,,,,,,0.1020896255,
2000,19820,"Detroit-Warren-Dearborn, MI",25-54,2900,75435,,,,,,61994,1591535,,,,,,0.0473976381,
2000,21340,"El Paso, TX",16-19,195,4376,,,,,,711,15905,,,,,,0.2751336058,
2000,21340,"El Paso, TX",20-24,192,4836,,,,,,1257,30470,,,,,,0.1587134887,
2000,21340,"El Paso, TX",25-54,656,14737,,,,,,8010,189171,,,,,,0.0779030613,
2000,23420,"Fresno, CA",16-19,315,6298,,,,,,1118,22275,,,,,,0.2827384961,
2000,23420,"Fresno, CA",20-24,347,7014,,,,,,2065,43133,,,,,,0.1626133123,
2000,23420,"Fresno, CA",25-54,1217,24206,,,,,,11567,238388,,,,,,0.101540346,
2000,24340,"Grand Rapids-Wyoming, MI",16-19,148,3811,,,,,,1213,31696,,,,,,0.1202359919,
2000,24340,"Grand Rapids-Wyoming, MI",20-24,132,3565,,,,,,1874,52256,,,,,,0.068221831,
2000,24340,"Grand Rapids-Wyoming, MI",25-54,360,9747,,,,,,11013,295942,,,,,,0.0329355076,
2000,24660,"Greensboro-High Point, NC",16-19,170,3809,,,,,,944,20907,,,,,,0.182187784,
2000,24660,"Greensboro-High Point, NC",20-24,208,4654,,,,,,1687,38473,,,,,,0.1209679516,
2000,24660,"Greensboro-High Point, NC",25-54,408,8936,,,,,,12019,260602,,,,,,0.0342898366,
2000,24860,"Greenville-Anderson-Mauldin, SC",16-19,228,4636,,,,,,1286,26862,,,,,,0.1725858089,
2000,24860,"Greenville-Anderson-Mauldin, SC",20-24,242,5125,,,,,,2187,45804,,,,,,0.1118897913,
2000,24860,"Greenville-Anderson-Mauldin, SC",25-54,504,10613,,,,,,13901,298216,,,,,,0.0355882984,
2000,25420,"Harrisburg-Carlisle, PA",16-19,86,1524,,,,,,754,14237,,,,,,0.1070450235,
2000,25420,"Harrisburg-Carlisle, PA",20-24,99,2115,,,,,,1156,23667,,,,,,0.0893649385,
2000,25420,"Harrisburg-Carlisle, PA",25-54,291,5891,,,,,,8881,185124,,,,,,0.031821914,
2000,25540,"Hartford-West Hartford-East Hartford, CT",16-19,291,7028,,,,,,1594,32552,,,,,,0.2159007127,
2000,25540,"Hartford-West Hartford-East Hartford, CT",20-24,298,7610,,,,,,2445,50428,,,,,,0.1509082256,
2000,25540,"Hartford-West Hartford-East Hartford, CT",25-54,788,15440,,,,,,21469,428117,,,,,,0.0360649075,
2000,26420,"Houston-The Woodlands-Sugar Land, TX",16-19,1188,26418,,,,,,5714,125951,,,,,,0.2097482354,
2000,26420,"Houston-The Woodlands-Sugar Land, TX",20-24,1122,25106,,,,,,9595,228322,,,,,,0.1099587425,
2000,26420,"Houston-The Woodlands-Sugar Land, TX",25-54,3466,79039,,,,,,71697,1647510,,,,,,0.0479748226,
2000,26900,"Indianapolis-Carmel-Anderson, IN",16-19,344,8281,,,,,,2026,49986,,,,,,0.1656663866,
2000,26900,"Indianapolis-Carmel-Anderson, IN",20-24,291,7556,,,,,,3101,81496,,,,,,0.0927162069,
2000,26900,"Indianapolis-Carmel-Anderson, IN",25-54,785,19685,,,,,,24175,610672,,,,,,0.0322349805,
2000,27140,"Jackson, MS",16-19,113,2457,,,,,,549,12635,,,,,,0.1944598338,
2000,27140,"Jackson, MS",20-24,138,3232,,,,,,926,21888,,,,,,0.1476608187,
2000,27140,"Jackson, MS",25-54,323,7412,,,,,,6306,152521,,,,,,0.0485965867,
2000,27260,"Jacksonville, FL",16-19,249,4673,,,,,,1647,32811,,,,,,0.1424217488,
2000,27260,"Jacksonville, FL",20-24,221,4616,,,,,,2351,50541,,,,,,0.09133179,
2000,27260,"Jacksonville, FL",25-54,683,14216,,,,,,18916,390210,,,,,,0.036431665,
2000,28140,"Kansas City, MO-KS",16-19,292,7181,,,,,,2275,53033,,,,,,0.1354062565,
2000,28140,"Kansas City, MO-KS",20-24,262,6260,,,,,,3328,84245,,,,,,0.0743070805,
2000,28140,"Kansas City, MO-KS",25-54,896,21806,,,,,,26258,637593,,,,,,0.0342005009,
2000,28940,"Knoxville, TN",16-19,191,3781,,,,,,1137,22380,,,,,,0.168945487,
2000,28940,"Knoxville, TN",20-24,164,3528,,,,,,1981,43935,,,,,,0.0803004438,
2000,28940,"Knoxville, TN",25-54,542,10628,,,,,,13585,279592,,,,,,0.0380125325,
2000,29460,"Lakeland-Winter Haven, FL",16-19,143,2750,,,,,,756,15238,,,,,,0.1804698779,
2000,29460,"Lakeland-Winter Haven, FL",20-24,111,2319,,,,,,964,21086,,,,,,0.1099781846,
2000,29460,"Lakeland-Winter Haven, FL",25-54,311,6143,,,,,,7293,146153,,,,,,0.042031296,
2000,29820,"Las Vegas-Henderson-Paradise, NV",16-19,313,6245,,,,,,1597,32977,,,,,,0.1893744125,
2000,29820,"Las Vegas-Henderson-Paradise, NV",20-24,322,6958,,,,,,3170,67948,,,,,,0.1024018367,
2000,29820,"Las Vegas-Henderson-Paradise, NV",25-54,1284,25896,,,,,,22645,481194,,,,,,0.0538161324,
2000,30780,"Little Rock-North Little Rock-Conway, AR",16-19,156,3578,,,,,,699,16974,,,,,,0.2107929775,
2000,30780,"Little Rock-North Little Rock-Conway, AR",20-24,134,3363,,,,,,1136,31929,,,,,,0.1053274453,
2000,30780,"Little Rock-North Little Rock-Conway, AR",25-54,332,8008,,,,,,7689,206599,,,,,,0.0387610782,
2000,31080,"Los Angeles-Long Beach-Anaheim, CA",16-19,3131,60957,,,,,,14072,277353,,,,,,0.2197812895,
2000,31080,"Los Angeles-Long Beach-Anaheim, CA",20-24,3353,68097,,,,,,29778,607051,,,,,,0.1121767364,
2000,31080,"Los Angeles-Long Beach-Anaheim, CA",25-54,12416,255854,,,,,,201187,4126511,,,,,,0.0620025004,
2000,31140,"Louisville/Jefferson County, KY-IN",16-19,261,5119,,,,,,1754,33557,,,,,,0.1525464136,
2000,31140,"Louisville/Jefferson County, KY-IN",20-24,211,4483,,,,,,2423,53131,,,,,,0.0843763528,
2000,31140,"Louisville/Jefferson County, KY-IN",25-54,679,13934,,,,,,20727,403466,,,,,,0.0345357477,
2000,31540,"Madison, WI",16-19,68,1917,,,,,,570,15222,,,,,,0.1259361451,
2000,31540,"Madison, WI",20-24,68,1895,,,,,,1048,32967,,,,,,0.0574817241,
2000,31540,"Madison, WI",25-54,124,3528,,,,,,6305,175403,,,,,,0.0201136811,
2000,32580,"McAllen-Edinburg-Mission, TX",16-19,199,4599,,,,,,612,14016,,,,,,0.328125,
2000,32580,"McAllen-Edinburg-Mission, TX",20-24,204,4835,,,,,,1164,27079,,,,,,0.1785516452,
2000,32580,"McAllen-Edinburg-Mission, TX",25-54,608,14535,,,,,,6128,143376,,,,,,0.1013767995,
2000,32820,"Memphis, TN-MS-AR",16-19,316,6918,,,,,,1330,29760,,,,,,0.2324596774,
2000,32820,"Memphis, TN-MS-AR",20-24,308,6985,,,,,,2234,54315,,,,,,0.1286016754,
2000,32820,"Memphis, TN-MS-AR",25-54,767,18223,,,,,,16660,386695,,,,,,0.0471249952,
