Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_fb,dy_fb,var_fb,se_fb,cv_fb,se2_fb,moe_fb,sample_nb,dy_nb,var_nb,se_nb,cv_nb,se2_nb,moe_nb,S_FB,S_NB,MOE_Sfb,MOE_Snb
15980,"Cape Coral-Fort Myers, FL",16-19, 34 ,1502.26518,108650.30101,329.62145,0.21942,108650.30101,542.22729,6.00000,207.51637,10002.79693,100.01398,0.48196,10002.79693,164.52300,28.00000,1294.74881,93168.51441,305.23518,0.23575,93168.51441,502.11187,0.13814,0.86186,0.09751,0.12224
15980,"Cape Coral-Fort Myers, FL",20-24, 97 ,4077.16697,209767.85364,458.00421,0.11233,209767.85364,753.41692,16.00000,692.31824,29954.46166,173.07357,0.24999,29954.46166,284.70603,81.00000,3384.84873,191766.60442,437.91164,0.12937,191766.60442,720.36465,0.16980,0.83020,0.06238,0.08765
16700,"Charleston-North Charleston, SC",16-19, 28 ,1281.63202,87398.04960,295.63161,0.23067,87398.04960,486.31400,,,,,,,,28.00000,1281.63202,87398.04960,295.63161,0.23067,87398.04960,486.31400,,1.00000,,0.00000
16700,"Charleston-North Charleston, SC",20-24, 129 ,5560.60643,421825.15744,649.48068,0.11680,421825.15744,1068.39572,7.00000,355.82411,18831.09374,137.22643,0.38566,18831.09374,225.73748,122.00000,5204.78232,442936.46743,665.53472,0.12787,442936.46743,1094.80462,0.06399,0.93601,0.03869,0.08013
16740,"Charlotte-Concord-Gastonia, NC-SC",16-19, 136 ,4482.82129,211512.37349,459.90474,0.10259,211512.37349,756.54330,9.00000,284.77678,16848.24840,129.80080,0.45580,16848.24840,213.52232,127.00000,4198.04450,188325.59736,433.96497,0.10337,188325.59736,713.87238,0.06353,0.93647,0.04641,0.01953
16740,"Charlotte-Concord-Gastonia, NC-SC",20-24, 402 ,17903.85732,1224769.59620,1106.69309,0.06181,1224769.59620,1820.51013,42.00000,1953.85049,116667.92757,341.56687,0.17482,116667.92757,561.87750,360.00000,15950.00683,1014105.41410,1007.02801,0.06314,1014105.41410,1656.56108,0.10913,0.89087,0.02936,0.01884
16860,"Chattanooga, TN-GA",16-19, 55 ,1820.24681,67018.18224,258.87870,0.14222,67018.18224,425.85546,,,,,,,,52.00000,1668.51600,57976.66456,240.78344,0.14431,57976.66456,396.08876,,0.91664,,0.03688
16860,"Chattanooga, TN-GA",20-24, 98 ,4020.15248,241769.66886,491.70079,0.12231,241769.66886,808.84780,5.00000,327.80475,18585.79419,136.32973,0.41589,18585.79419,224.26240,93.00000,3692.34773,218470.14342,467.40790,0.12659,218470.14342,768.88599,0.08154,0.91846,0.05332,0.04931
16980,"Chicago-Naperville-Elgin, IL-IN-WI",16-19, 461 ,21938.55627,1891921.36040,1375.47132,0.06270,1891921.36040,2262.65033,51.00000,2558.76908,205839.94408,453.69587,0.17731,205839.94408,746.32971,410.00000,19379.78720,1539851.97450,1240.90772,0.06403,1539851.97450,2041.29320,0.11663,0.88337,0.03182,0.01890
16980,"Chicago-Naperville-Elgin, IL-IN-WI",20-24," 1,173 ",60496.31424,3521246.20900,1876.49839,0.03102,3521246.20900,3086.83985,149.00000,8369.33121,625401.65418,790.82340,0.09449,625401.65418,1300.90450,1024.00000,52126.98303,2973143.57570,1724.28060,0.03308,2973143.57570,2836.44158,0.13834,0.86166,0.02031,0.01629
17140,"Cincinnati, OH-KY-IN",16-19, 114 ,4591.43771,269319.28909,518.95981,0.11303,269319.28909,853.68889,,,,,,,,110.00000,4461.52106,248696.84017,498.69514,0.11178,248696.84017,820.35350,,0.97170,,0.25410
17140,"Cincinnati, OH-KY-IN",20-24, 267 ,11522.52286,587893.98419,766.74245,0.06654,587893.98419,1261.29133,9.00000,898.65366,79987.96032,282.82143,0.31472,79987.96032,465.24125,258.00000,10623.86920,500862.67133,707.71652,0.06662,500862.67133,1164.19367,0.07799,0.92201,0.03946,0.00472
17460,"Cleveland-Elyria, OH",16-19, 137 ,5724.73859,218614.03754,467.56180,0.08167,218614.03754,769.13916,5.00000,270.43058,24863.09490,157.68036,0.58307,24863.09490,259.38419,132.00000,5454.30801,212264.60602,460.72183,0.08447,212264.60602,757.88741,0.04724,0.95276,0.04486,0.03378
17460,"Cleveland-Elyria, OH",20-24, 310 ,13717.96803,732979.33153,856.14212,0.06241,732979.33153,1408.35379,14.00000,534.54337,33739.31933,183.68266,0.34363,33739.31933,302.15797,296.00000,13183.42465,717017.72665,846.76899,0.06423,717017.72665,1392.93499,0.03897,0.96103,0.02166,0.02400
17820,"Colorado Springs, CO",16-19, 35 ,1424.59156,46922.25611,216.61546,0.15205,46922.25611,356.33243,,,,,,,,34.00000,1396.67879,47401.27129,217.71833,0.15588,47401.27129,358.14665,,0.98041,,0.05538
17820,"Colorado Springs, CO",20-24, 82 ,4444.72927,396373.97660,629.58238,0.14165,396373.97660,1035.66302,,,,,,,,80.00000,4281.29092,396543.10438,629.71669,0.14709,396543.10438,1035.88395,,0.96323,,0.06279
17900,"Columbia, SC",16-19, 48 ,2460.10007,219335.14206,468.33230,0.19037,219335.14206,770.40663,,,,,,,,47.00000,2440.17069,219750.76317,468.77581,0.19211,219750.76317,771.13621,,0.99190,,0.04205
17900,"Columbia, SC",20-24, 125 ,5544.60761,579135.69652,761.00966,0.13725,579135.69652,1251.86088,10.00000,503.35388,56507.25985,237.71256,0.47226,56507.25985,391.03716,115.00000,5041.25373,517117.36716,719.10873,0.14264,517117.36716,1182.93386,0.09078,0.90922,0.06748,0.05811
18140,"Columbus, OH",16-19, 94 ,3067.81783,152986.33600,391.13468,0.12750,152986.33600,643.41654,6.00000,224.32416,11310.73335,106.35193,0.47410,11310.73335,174.94893,88.00000,2843.49366,144509.45710,380.14400,0.13369,144509.45710,625.33687,0.07312,0.92688,0.05493,0.06132
18140,"Columbus, OH",20-24, 249 ,11534.25972,884613.00513,940.53868,0.08154,884613.00513,1547.18613,14.00000,780.64091,52923.64467,230.05140,0.29470,52923.64467,378.43455,235.00000,10753.61881,908027.92353,952.90499,0.08861,908027.92353,1567.52871,0.06768,0.93232,0.03153,0.05319
19100,"Dallas-Fort Worth-Arlington, TX",16-19, 402 ,17277.98820,865974.22412,930.57736,0.05386,865974.22412,1530.79976,72.00000,3627.68648,201064.23961,448.40187,0.12361,201064.23961,737.62108,330.00000,13650.30172,700960.05390,837.23357,0.06133,700960.05390,1377.24923,0.20996,0.79004,0.03843,0.03814
19100,"Dallas-Fort Worth-Arlington, TX",20-24, 938 ,44367.56817,3510624.35390,1873.66602,0.04223,3510624.35390,3082.18060,197.00000,9765.24306,728680.43927,853.62781,0.08741,728680.43927,1404.21775,741.00000,34602.32511,2918535.38000,1708.37214,0.04937,2918535.38000,2810.27218,0.22010,0.77990,0.02771,0.03281
19380,"Dayton, OH",16-19, 39 ,1438.14860,63851.73289,252.68900,0.17570,63851.73289,415.67341,,,,,,,,39.00000,1438.14860,63851.73289,252.68900,0.17570,63851.73289,415.67341,,1.00000,,0.00000
19380,"Dayton, OH",20-24, 103 ,4905.63307,268128.40083,517.81116,0.10555,268128.40083,851.79936,,,,,,,,100.00000,4831.03012,265662.46518,515.42455,0.10669,265662.46518,847.87338,,0.98479,,0.02515
19660,"Deltona-Daytona Beach-Ormond Beach, FL",16-19, 40 ,1482.54480,76239.86133,276.11567,0.18624,76239.86133,454.21027,,,,,,,,38.00000,1316.95484,80067.75268,282.96246,0.21486,80067.75268,465.47324,,0.88831,,0.15656
19660,"Deltona-Daytona Beach-Ormond Beach, FL",20-24, 96 ,4407.62314,244418.38775,494.38688,0.11217,244418.38775,813.26642,,,,,,,,93.00000,4103.83424,237281.63458,487.11563,0.11870,237281.63458,801.30521,,0.93108,,0.05947
19740,"Denver-Aurora-Lakewood, CO",16-19, 111 ,4875.68897,429753.94515,655.55621,0.13445,429753.94515,1078.38997,19.00000,923.70900,75535.99848,274.83813,0.29754,75535.99848,452.10873,92.00000,3951.97997,264351.99076,514.15172,0.13010,264351.99076,845.77958,0.18945,0.81055,0.08272,0.24946
19740,"Denver-Aurora-Lakewood, CO",20-24, 257 ,11748.71397,780522.74195,883.47198,0.07520,780522.74195,1453.31141,56.00000,2859.69290,155529.79378,394.37266,0.13791,155529.79378,648.74302,201.00000,8889.02107,732508.64397,855.86719,0.09628,732508.64397,1407.90152,0.24340,0.75660,0.04629,0.07484
19780,"Des Moines-West Des Moines, IA",16-19, 19 ,1132.86032,85336.67309,292.12441,0.25786,85336.67309,480.54466,,,,,,,,18.00000,972.52699,68500.28907,261.72560,0.26912,68500.28907,430.53861,,0.85847,,0.10876
19780,"Des Moines-West Des Moines, IA",20-24, 33 ,2190.46235,220325.73938,469.38869,0.21429,220325.73938,772.14439,7.00000,451.22506,42476.97728,206.09944,0.45676,42476.97728,339.03357,26.00000,1739.23728,218826.29241,467.78873,0.26896,218826.29241,769.51245,0.20600,0.79400,0.13669,0.21231
19820,"Detroit-Warren-Dearborn, MI",16-19, 244 ,12115.25889,822300.77540,906.80801,0.07485,822300.77540,1491.69918,16.00000,1231.09160,99342.37114,315.18625,0.25602,99342.37114,518.48138,228.00000,10884.16729,654485.88462,809.00302,0.07433,654485.88462,1330.80997,0.10161,0.89839,0.04093,0.15589
