YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,SEX,sample_n,EMP,var_n,se_n,cv_n,se2_n,moe_n,sex_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ER,MOE_ER
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",16-19,Male,617,13563,,,,,,Male,1397,31524,,,,,,0.4302436239,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",16-19,Female,670,14860,,,,,,Female,1398,31523,,,,,,0.4714018336,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",20-24,Male,994,22996,,,,,,Male,1408,33757,,,,,,0.6812216725,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",20-24,Female,1052,24335,,,,,,Female,1503,35176,,,,,,0.6918069138,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",25-54,Male,8981,197177,,,,,,Male,10859,238323,,,,,,0.8273519551,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",25-54,Female,8501,185861,,,,,,Female,11518,251956,,,,,,0.7376724507,
2000,15980,"Cape Coral-Fort Myers, FL",16-19,Male,249,4902,,,,,,Male,437,8592,,,,,,0.5705307263,
2000,15980,"Cape Coral-Fort Myers, FL",16-19,Female,188,3603,,,,,,Female,393,7631,,,,,,0.4721530599,
2000,15980,"Cape Coral-Fort Myers, FL",20-24,Male,386,7596,,,,,,Male,478,9539,,,,,,0.7963098857,
2000,15980,"Cape Coral-Fort Myers, FL",20-24,Female,320,6542,,,,,,Female,480,9465,,,,,,0.6911780243,
2000,15980,"Cape Coral-Fort Myers, FL",25-54,Male,3457,66112,,,,,,Male,4072,78095,,,,,,0.8465586785,
2000,15980,"Cape Coral-Fort Myers, FL",25-54,Female,3058,58992,,,,,,Female,4202,80930,,,,,,0.7289262325,
2000,16700,"Charleston-North Charleston, SC",16-19,Male,286,6702,,,,,,Male,778,16996,,,,,,0.3943280772,
2000,16700,"Charleston-North Charleston, SC",16-19,Female,248,5992,,,,,,Female,720,17089,,,,,,0.3506349113,
2000,16700,"Charleston-North Charleston, SC",20-24,Male,524,13376,,,,,,Male,781,19628,,,,,,0.6814754432,
2000,16700,"Charleston-North Charleston, SC",20-24,Female,531,12685,,,,,,Female,816,19292,,,,,,0.6575264358,
2000,16700,"Charleston-North Charleston, SC",25-54,Male,4217,98934,,,,,,Male,5117,118999,,,,,,0.8313851377,
2000,16700,"Charleston-North Charleston, SC",25-54,Female,4059,92758,,,,,,Female,5799,132033,,,,,,0.7025364871,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",16-19,Male,773,18566,,,,,,Male,1736,40966,,,,,,0.4532050969,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",16-19,Female,752,16930,,,,,,Female,1771,39483,,,,,,0.4287921384,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",20-24,Male,1522,38869,,,,,,Male,2029,51321,,,,,,0.7573702773,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",20-24,Female,1449,34494,,,,,,Female,2194,51444,,,,,,0.670515512,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",25-54,Male,13781,332934,,,,,,Male,15696,378377,,,,,,0.8799002054,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",25-54,Female,11956,281888,,,,,,Female,16297,383421,,,,,,0.7351918648,
2000,16860,"Chattanooga, TN-GA",16-19,Male,261,5861,,,,,,Male,562,11710,,,,,,0.5005123826,
2000,16860,"Chattanooga, TN-GA",16-19,Female,239,4735,,,,,,Female,547,10998,,,,,,0.4305328241,
2000,16860,"Chattanooga, TN-GA",20-24,Male,467,11266,,,,,,Male,629,14956,,,,,,0.7532762771,
2000,16860,"Chattanooga, TN-GA",20-24,Female,427,9733,,,,,,Female,658,14747,,,,,,0.6599986438,
2000,16860,"Chattanooga, TN-GA",25-54,Male,3588,80032,,,,,,Male,4127,91773,,,,,,0.8720647685,
2000,16860,"Chattanooga, TN-GA",25-54,Female,3126,68405,,,,,,Female,4431,96428,,,,,,0.709389389,
2000,16980,"Chicago-Naperville-Elgin, IL-IN-WI",16-19,Male,4455,103826,,,,,,Male,10753,253358,,,,,,0.4097995721,
2000,16980,"Chicago-Naperville-Elgin, IL-IN-WI",16-19,Female,4246,98144,,,,,,Female,10173,237672,,,,,,0.4129388401,
2000,16980,"Chicago-Naperville-Elgin, IL-IN-WI",20-24,Male,8329,212295,,,,,,Male,11796,302257,,,,,,0.7023658675,
