Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_w,dy_white,var_w,se_w,cv_w,se2_w,moe_w,sample_b,dy_black,var_b,se_b,cv_b,se2_b,moe_b,sample_l,dy_latino,var_l,se_l,cv_l,se2_l,moe_l,sample_a,dy_asian,var_a,se_a,cv_a,se2_a,moe_a,sample_o,dy_other,var_o,se_o,cv_o,se2_o,moe_o,S_White,S_Black,S_Latino,S_Asian,S_Other,MOE_Swhite,MOE_Sblack,MOE_Slatino,MOE_Sasian,MOE_Sother
31080,"Los Angeles-Long Beach-Anaheim, CA",20-24," 2,305 ",89628.86962,5196740.99820,2279.63615,0.02543,5196740.99820,3750.00147,231.00000,8254.97015,339196.10730,582.40545,0.07055,339196.10730,958.05696,250.00000,12319.82945,807904.34584,898.83499,0.07296,807904.34584,1478.58356,1658.00000,63392.67811,3874637.89460,1968.40999,0.03105,3874637.89460,3238.03444,128.00000,4269.35205,209598.28438,457.81905,0.10723,209598.28438,753.11234,38.00000,1392.03985,79461.81658,281.88972,0.20250,79461.81658,463.70860,0.09210,0.13745,0.70728,0.04763,0.01553,0.00997,0.01546,0.02072,0.00816,0.00513
31140,"Louisville/Jefferson County, KY-IN",16-19, 64 ,2335.94965,117317.91555,342.51703,0.14663,117317.91555,563.44051,37.00000,986.36302,27418.76884,165.58614,0.16788,27418.76884,272.38920,19.00000,980.13769,78624.49222,280.40059,0.28608,78624.49222,461.25897,,,,,,,,,,,,,,,,,,,,,,0.42225,0.41959,,,,0.05678,0.16955,,,
31140,"Louisville/Jefferson County, KY-IN",20-24, 174 ,8211.71246,562181.26544,749.78748,0.09131,562181.26544,1233.40040,120.00000,5280.04454,416685.06672,645.51148,0.12225,416685.06672,1061.86638,39.00000,2249.15666,148744.56367,385.67417,0.17148,148744.56367,634.43401,,,,,,,,,,,,,,,7.00000,337.32519,16051.19419,126.69331,0.37558,16051.19419,208.41049,0.64299,0.27390,,,0.04108,0.08599,0.06540,,,0.02462
31540,"Madison, WI",16-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31540,"Madison, WI",20-24, 15 ,1266.17194,140239.15949,374.48519,0.29576,140239.15949,616.02814,11.00000,824.46162,77002.34541,277.49296,0.33657,77002.34541,456.47593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65115,,,,,0.17207,,,,
32580,"McAllen-Edinburg-Mission, TX",16-19, 94 ,4790.78197,270851.60780,520.43406,0.10863,270851.60780,856.11402,,,,,,,,,,,,,,,94.00000,4790.78197,270851.60780,520.43406,0.10863,270851.60780,856.11402,,,,,,,,,,,,,,,,,1.00000,,,,,0.25272,,
32580,"McAllen-Edinburg-Mission, TX",20-24, 192 ,11767.85336,849913.03710,921.90728,0.07834,849913.03710,1516.53748,,,,,,,,,,,,,,,187.00000,11572.51990,843364.27330,918.34867,0.07936,843364.27330,1510.68356,,,,,,,,,,,,,,,,,0.98340,,,,,0.02046,,
32820,"Memphis, TN-MS-AR",16-19, 122 ,5366.99780,373270.92166,610.95902,0.11384,373270.92166,1005.02758,18.00000,739.62031,33300.95153,182.48548,0.24673,33300.95153,300.18862,92.00000,4071.98265,292374.66261,540.71680,0.13279,292374.66261,889.47914,11.00000,524.06150,29388.90954,171.43194,0.32712,29388.90954,282.00554,,,,,,,,,,,,,,,0.13781,0.75871,0.09765,,,0.04962,0.08533,0.04926,,
32820,"Memphis, TN-MS-AR",20-24, 271 ,13635.11690,921282.90783,959.83483,0.07039,921282.90783,1578.92830,54.00000,1921.34787,103417.71950,321.58626,0.16738,103417.71950,529.00939,193.00000,10745.86344,747176.80784,864.39390,0.08044,747176.80784,1421.92796,18.00000,639.70281,29869.37056,172.82757,0.27017,29869.37056,284.30136,,,,,,,,,,,,,,,0.14091,0.78810,0.04692,,,0.03520,0.05046,0.02013,,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",16-19, 297 ,12884.62394,754238.70674,868.46917,0.06740,754238.70674,1428.63179,44.00000,1825.84633,108658.20578,329.63344,0.18054,108658.20578,542.24701,108.00000,4416.19856,205929.06263,453.79408,0.10276,205929.06263,746.49125,138.00000,6365.79061,360023.62638,600.01969,0.09426,360023.62638,987.03239,,,,,,,,6.00000,244.24659,11186.23223,105.76499,0.43303,11186.23223,173.98340,0.14171,0.34275,0.49406,,0.01896,0.03904,0.04373,0.05355,,0.01334
