Assigned_CBSA,Assigned_CBSATitle,age_recode,RE,re_label,sample_n,DY,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ShareDY,MOE_ShareDY
12260.00000,"Augusta-Richmond County, GA-SC",16-19,1.00000,White,20.00000,1051.81018,60082.04049,245.11638,0.23304,60082.04049,403.21645,409.00000,14499.88555,248380.50265,498.37787,0.03437,248380.50265,819.83160,0.07254,0.02750
12260.00000,"Augusta-Richmond County, GA-SC",16-19,2.00000,Black,24.00000,1017.82388,52985.85543,230.18657,0.22616,52985.85543,378.65690,301.00000,11747.00672,439481.59875,662.93408,0.05643,439481.59875,1090.52657,0.08665,0.03121
12260.00000,"Augusta-Richmond County, GA-SC",16-19,3.00000,Latino,,,,,,,,40.00000,2062.92288,155722.62421,394.61706,0.19129,155722.62421,649.14506,,
12260.00000,"Augusta-Richmond County, GA-SC",16-19,4.00000,Asian,,,,,,,,8.00000,254.64675,12643.84318,112.44485,0.44157,12643.84318,184.97177,,
12260.00000,"Augusta-Richmond County, GA-SC",16-19,5.00000,Other,,,,,,,,31.00000,1171.64007,75933.41641,275.56019,0.23519,75933.41641,453.29651,,
12260.00000,"Augusta-Richmond County, GA-SC",20-24,1.00000,White,41.00000,1359.44844,60260.50122,245.48014,0.18057,60260.50122,403.81484,465.00000,18131.40708,220748.25009,469.83854,0.02591,220748.25009,772.88439,0.07498,0.02204
12260.00000,"Augusta-Richmond County, GA-SC",20-24,2.00000,Black,48.00000,2695.50829,215552.48021,464.27630,0.17224,215552.48021,763.73451,266.00000,14890.64605,261512.72454,511.38315,0.03434,261512.72454,841.22528,0.18102,0.05026
12260.00000,"Augusta-Richmond County, GA-SC",20-24,3.00000,Latino,,,,,,,,45.00000,1906.07736,98693.73743,314.15559,0.16482,98693.73743,516.78595,,
12260.00000,"Augusta-Richmond County, GA-SC",20-24,4.00000,Asian,,,,,,,,16.00000,1106.56634,42278.95157,205.61846,0.18582,42278.95157,338.24237,,
12260.00000,"Augusta-Richmond County, GA-SC",20-24,5.00000,Other,,,,,,,,26.00000,1265.11048,74506.28294,272.95839,0.21576,74506.28294,449.01655,,
