YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,SEX,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,sex_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR
2000,25420,"Harrisburg-Carlisle, PA",20-24,Female,48,1069,,,,,,Female,582,11797,,,,,,0.0906162584,
2000,25420,"Harrisburg-Carlisle, PA",25-54,Male,139,2935,,,,,,Male,4611,95833,,,,,,0.0306261935,
2000,25420,"Harrisburg-Carlisle, PA",25-54,Female,152,2956,,,,,,Female,4270,89291,,,,,,0.0331052402,
2000,25540,"Hartford-West Hartford-East Hartford, CT",16-19,Male,165,3910,,,,,,Male,812,16836,,,,,,0.2322404372,
2000,25540,"Hartford-West Hartford-East Hartford, CT",16-19,Female,126,3118,,,,,,Female,782,15716,,,,,,0.1983965386,
2000,25540,"Hartford-West Hartford-East Hartford, CT",20-24,Male,174,4255,,,,,,Male,1231,25437,,,,,,0.1672760153,
2000,25540,"Hartford-West Hartford-East Hartford, CT",20-24,Female,124,3355,,,,,,Female,1214,24991,,,,,,0.1342483294,
2000,25540,"Hartford-West Hartford-East Hartford, CT",25-54,Male,430,8488,,,,,,Male,11037,221004,,,,,,0.0384065447,
2000,25540,"Hartford-West Hartford-East Hartford, CT",25-54,Female,358,6952,,,,,,Female,10432,207113,,,,,,0.0335662175,
2000,26420,"Houston-The Woodlands-Sugar Land, TX",16-19,Male,604,13550,,,,,,Male,3042,67424,,,,,,0.2009670147,
2000,26420,"Houston-The Woodlands-Sugar Land, TX",16-19,Female,584,12868,,,,,,Female,2672,58527,,,,,,0.2198643361,
2000,26420,"Houston-The Woodlands-Sugar Land, TX",20-24,Male,561,12432,,,,,,Male,5171,122610,,,,,,0.101394666,
2000,26420,"Houston-The Woodlands-Sugar Land, TX",20-24,Female,561,12674,,,,,,Female,4424,105712,,,,,,0.1198917814,
2000,26420,"Houston-The Woodlands-Sugar Land, TX",25-54,Male,1707,38863,,,,,,Male,39506,909294,,,,,,0.0427397519,
2000,26420,"Houston-The Woodlands-Sugar Land, TX",25-54,Female,1759,40176,,,,,,Female,32191,738216,,,,,,0.0544230957,
2000,26900,"Indianapolis-Carmel-Anderson, IN",16-19,Male,180,4415,,,,,,Male,1018,25309,,,,,,0.1744438737,
2000,26900,"Indianapolis-Carmel-Anderson, IN",16-19,Female,164,3866,,,,,,Female,1008,24677,,,,,,0.1566641002,
2000,26900,"Indianapolis-Carmel-Anderson, IN",20-24,Male,150,4114,,,,,,Male,1550,41702,,,,,,0.0986523428,
2000,26900,"Indianapolis-Carmel-Anderson, IN",20-24,Female,141,3442,,,,,,Female,1551,39794,,,,,,0.0864954516,
2000,26900,"Indianapolis-Carmel-Anderson, IN",25-54,Male,395,9924,,,,,,Male,12667,321681,,,,,,0.0308504388,
2000,26900,"Indianapolis-Carmel-Anderson, IN",25-54,Female,390,9761,,,,,,Female,11508,288991,,,,,,0.0337761384,
2000,27140,"Jackson, MS",16-19,Male,56,1147,,,,,,Male,270,6113,,,,,,0.1876329135,
2000,27140,"Jackson, MS",16-19,Female,57,1310,,,,,,Female,279,6522,,,,,,0.2008586323,
2000,27140,"Jackson, MS",20-24,Male,64,1421,,,,,,Male,431,9908,,,,,,0.143419459,
2000,27140,"Jackson, MS",20-24,Female,74,1811,,,,,,Female,495,11980,,,,,,0.1511686144,
2000,27140,"Jackson, MS",25-54,Male,153,3545,,,,,,Male,3097,75924,,,,,,0.0466914283,
2000,27140,"Jackson, MS",25-54,Female,170,3867,,,,,,Female,3209,76597,,,,,,0.0504850059,
2000,27260,"Jacksonville, FL",16-19,Male,135,2583,,,,,,Male,850,16821,,,,,,0.1535580524,
2000,27260,"Jacksonville, FL",16-19,Female,114,2090,,,,,,Female,797,15990,,,,,,0.1307066917,
2000,27260,"Jacksonville, FL",20-24,Male,115,2541,,,,,,Male,1148,24976,,,,,,0.1017376682,
2000,27260,"Jacksonville, FL",20-24,Female,106,2075,,,,,,Female,1203,25565,,,,,,0.0811656562,
2000,27260,"Jacksonville, FL",25-54,Male,320,6705,,,,,,Male,9753,203340,,,,,,0.0329743287,
2000,27260,"Jacksonville, FL",25-54,Female,363,7511,,,,,,Female,9163,186870,,,,,,0.0401937176,
2000,28140,"Kansas City, MO-KS",16-19,Male,155,3964,,,,,,Male,1144,27148,,,,,,0.1460144394,
2000,28140,"Kansas City, MO-KS",16-19,Female,137,3217,,,,,,Female,1131,25885,,,,,,0.1242804713,
2000,28140,"Kansas City, MO-KS",20-24,Male,148,3562,,,,,,Male,1752,44003,,,,,,0.0809490262,
2000,28140,"Kansas City, MO-KS",20-24,Female,114,2698,,,,,,Female,1576,40242,,,,,,0.0670443815,
2000,28140,"Kansas City, MO-KS",25-54,Male,491,11756,,,,,,Male,13776,334338,,,,,,0.0351620217,
