Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_lths,dy_lths,var_lths,se_lths,cv_lths,se2_lths,moe_lths,sample_hs,dy_hs,var_hs,se_hs,cv_hs,se2_hs,moe_hs,sample_sc,dy_sc,var_sc,se_sc,cv_sc,se2_sc,moe_sc,S_lths,S_hs,S_sc,MOE_Slths,MOE_Shs,MOE_Ssc
45060,"Syracuse, NY",20-24, 137 ,4573.81795,215815.04427,464.55898,0.10157,215815.04427,764.19952,41.00000,1127.31936,37299.03861,193.12959,0.17132,37299.03861,317.69818,65.00000,2250.99166,121828.52751,349.03944,0.15506,121828.52751,574.16987,31.00000,1195.50693,71049.07061,266.55032,0.22296,71049.07061,438.47527,0.24647,0.49215,0.26138,0.05594,0.09485,0.08534
45300,"Tampa-St. Petersburg-Clearwater, FL",16-19, 207 ,8390.55686,459634.22376,677.96329,0.08080,459634.22376,1115.24961,105.00000,3923.20869,197959.78067,444.92671,0.11341,197959.78067,731.90444,95.00000,4224.73439,293946.43620,542.16827,0.12833,293946.43620,891.86681,7.00000,242.61377,9555.77100,97.75362,0.40292,9555.77100,160.80471,0.46757,0.50351,0.02892,0.06121,0.08258,0.01878
45300,"Tampa-St. Petersburg-Clearwater, FL",20-24, 498 ,20019.38766,1506934.47010,1227.57259,0.06132,1506934.47010,2019.35691,175.00000,6938.00361,464271.90727,681.37501,0.09821,464271.90727,1120.86190,234.00000,9557.95876,633731.85942,796.07277,0.08329,633731.85942,1309.53971,89.00000,3523.42529,208543.10339,456.66520,0.12961,208543.10339,751.21425,0.34656,0.47744,0.17600,0.04373,0.04427,0.03306
45780,"Toledo, OH",16-19, 32 ,1205.60318,77372.24302,278.15867,0.23072,77372.24302,457.57100,15.00000,500.90689,36237.27916,190.36092,0.38003,36237.27916,313.14371,16.00000,683.66875,39840.35331,199.60048,0.29195,39840.35331,328.34280,,,,,,,,0.41548,0.56708,,0.20639,0.16689,
45780,"Toledo, OH",20-24, 135 ,6381.47543,393386.60064,627.20539,0.09829,393386.60064,1031.75287,58.00000,2508.61783,135741.13308,368.43064,0.14687,135741.13308,606.06840,56.00000,2845.78377,208835.91758,456.98569,0.16058,208835.91758,751.74145,21.00000,1027.07383,71443.91002,267.28994,0.26024,71443.91002,439.69195,0.39311,0.44594,0.16095,0.07057,0.09316,0.06380
46060,"Tucson, AZ",16-19, 78 ,3397.77229,216707.06984,465.51807,0.13701,216707.06984,765.77722,38.00000,1791.82999,114488.89279,338.36207,0.18884,114488.89279,556.60561,36.00000,1444.62053,97511.48678,312.26829,0.21616,97511.48678,513.68134,,,,,,,,0.52735,0.42517,,0.11274,0.11694,
46060,"Tucson, AZ",20-24, 203 ,9874.62577,702947.06864,838.41939,0.08491,702947.06864,1379.19989,70.00000,3791.50018,330621.71807,574.99715,0.15165,330621.71807,945.87031,94.00000,4308.21100,202321.59494,449.80173,0.10441,202321.59494,739.92384,39.00000,1774.91458,120195.06769,346.69160,0.19533,120195.06769,570.30769,0.38396,0.43629,0.17974,0.07937,0.04361,0.05201
46140,"Tulsa, OK",16-19, 72 ,2235.54833,101153.36190,318.04616,0.14227,101153.36190,523.18594,39.00000,1000.70441,28515.50767,168.86535,0.16875,28515.50767,277.78351,30.00000,1087.63786,49058.75978,221.49212,0.20365,49058.75978,364.35454,,,,,,,,0.44763,0.48652,,0.06682,0.11661,
46140,"Tulsa, OK",20-24, 164 ,6590.78461,399237.78180,631.85266,0.09587,399237.78180,1039.39762,51.00000,2267.77804,104399.17526,323.10861,0.14248,104399.17526,531.51367,80.00000,3077.56745,212457.44836,460.93107,0.14977,212457.44836,758.23160,33.00000,1245.43912,67694.17469,260.18104,0.20891,67694.17469,427.99781,0.34408,0.46695,0.18897,0.05966,0.08839,0.05770
46520,"Urban Honolulu, HI",16-19, 47 ,1428.14589,79879.75580,282.63007,0.19790,79879.75580,464.92646,10.00000,300.35133,10874.84521,104.28253,0.34720,10874.84521,171.54476,31.00000,952.94519,60604.86156,246.18055,0.25834,60604.86156,404.96700,6.00000,174.84938,6966.34912,83.46466,0.47735,6966.34912,137.29936,0.21031,0.66726,0.12243,0.09869,0.18227,0.08749
46520,"Urban Honolulu, HI",20-24, 127 ,5439.17474,226069.09098,475.46723,0.08742,226069.09098,782.14360,23.00000,913.30031,41203.33700,202.98605,0.22226,41203.33700,333.91205,75.00000,3203.19006,145362.09141,381.26381,0.11903,145362.09141,627.17896,29.00000,1322.68436,99130.94481,314.85067,0.23804,99130.94481,517.92935,0.16791,0.58891,0.24318,0.05644,0.07826,0.08857
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",16-19, 88 ,3977.61517,262685.96974,512.52899,0.12885,262685.96974,843.11020,25.00000,1300.19718,84432.76159,290.57316,0.22348,84432.76159,477.99285,61.00000,2510.85950,167867.07633,409.71585,0.16318,167867.07633,673.98257,,,,,,,,0.32688,0.63125,,0.09819,0.10396,
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",20-24, 234 ,10623.97788,600477.14383,774.90460,0.07294,600477.14383,1274.71807,60.00000,2509.25618,175542.01855,418.97735,0.16697,175542.01855,689.21774,125.00000,6003.04591,386848.04194,621.97109,0.10361,386848.04194,1023.14245,49.00000,2111.67578,120058.11828,346.49404,0.16408,120058.11828,569.98269,0.23619,0.56505,0.19877,0.05836,0.06840,0.04806
